구분,화장실명,소재지도로명주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,양산면민복지회관,충북 영동군 양산면 가곡리 297-3,1,5,09:00~18:00,36.12390846,127.6668347
공중화장실,상촌 체육공원,충청북도 영동군 상촌면 상촌로 1273-11,2,3,,36.14407303,127.9109776
개방화장실,에코빌광장 화장실,충북 옥천군 안남면 연주리 산 44-3,2,3,,36.34718759,127.6651104
개방화장실,남선석유㈜ 롯데마트,충북 청주시 흥덕구 직지대로240번길 25,1,1,06:00~23:00,36.6457123,127.4199247
개방화장실,북부시장 상가화장실(2층),충북 청주시 청원구 향군로31번길 12-8,4,4,09:00 ∼ 24:00,36.64865974,127.486075
