구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","중화동 교회공중화장실","인천광역시 옹진군 백령면 중화2길 118","인천광역시 옹진군 백령면 연화리 산 44","2","3","","37.92825","124.6514","최종 좌표가 인천광역시 범위를 벗어남"
"공중화장실","중화동 포구 공중화장실","인천광역시 옹진군 백령면 중화2길 145","인천광역시 옹진군 백령면 남포리 1390-1","1","2","","37.92266","124.6564","최종 좌표가 인천광역시 범위를 벗어남"
"공중화장실","용트림 공중화장실","인천광역시 옹진군 백령면 백령남로 723","인천광역시 옹진군 백령면 남포리 산 283-6","1","3","","37.92012","124.671","최종 좌표가 인천광역시 범위를 벗어남"
"개방화장실","서부지구지소","인천광역시 옹진군 백령면 백령로 262","인천광역시 옹진군 백령면 진촌리 689-6","1","1","09:00~18:00","37.9702522","124.7223496","최종 좌표가 인천광역시 범위를 벗어남"
"개방화장실","백령파출소","인천광역시 옹진군 백령면 백령로278번길 57","인천광역시 옹진군 백령면","1","2","09:00~18:00","37.9737087","124.7209472","최종 좌표가 인천광역시 범위를 벗어남"
"개방화장실","백령면사무소","인천광역시 옹진군 백령면 백령로278번길 61-2","인천광역시 옹진군 백령면 진촌리 875","5","8","09:00~18:00","37.9742219","124.7213638","최종 좌표가 인천광역시 범위를 벗어남"
"개방화장실","백령도서관","인천광역시 옹진군 백령면 백령로 260","인천광역시 옹진군 백령면 진촌리 689-4","4","5","09:00~18:00","37.9702967","124.722708","최종 좌표가 인천광역시 범위를 벗어남"
"공중화장실","심청각 공중화장실","인천광역시 옹진군 백령면 백령로316번길 109-117","인천광역시 옹진군 백령면 진촌리 산 146-12","3","3","","37.9795632","124.716476","최종 좌표가 인천광역시 범위를 벗어남"
"개방화장실","수도권매립지관리공사 축구장","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 운행차연구동9동","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 운챙차연구동9동,,5,5,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 국가환경위성센터","좌표를 찾을 수 없음"
"(2층","3층),인천광역시 서구 환경로 42 국립환경과학원 국가환경위성센터,,3,7,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 국가환경보건시료은행동","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 국가환경보건시료은행동,,4,7,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 국가환경시료은행동","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 국가환경시료은행동,,4,7,09:00~18:00,,","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 실내환경종합연구동,,4,5,09:00~18:00,,","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 지구환경연구동,,5,11,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 연구6동","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 연구6동,,4,4,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","국립환경과학원 자동차종합환경시험동10동","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 자동차종합환경시험동10동,,2,4,09:00~18:00,,","좌표를 찾을 수 없음"
"(1층","2층),인천광역시 서구 환경로 42 국립환경과학원 자원순환연구동,,6,9,09:00~18:00,,","좌표를 찾을 수 없음"
