구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","가덕파출소","부산 강서구 동선길 134 가덕파출소","1","1","1","",35.05288,128.831
"개방화장실","강서체육공원 야외","부산 강서구 체육공원로 43 강서체육공원 야외","1","4","4","",35.209883815,128.97234141
"공중화장실","희망공원","부산 강서구 녹산산단321로 50 희망공원","1","2","3","",35.0924,128.8533
"개방화장실","강서구여성센터","부산 강서구 낙동북로 477 강서구여성센터","1","4","9","정시",35.21254,128.9807
"개방화장실","농업인복지회관","부산 강서구 가락대로 1392 농업인복지회관","1","6","5","정시",35.18884,128.9045
"개방화장실","경전철대사역","부산 강서구 낙동북로 82 경전철대사역","1","4","6","정시",35.21797,128.938
"개방화장실","김해공항 국제선","부산 강서구 공항진입로 108 김해공항 국제선","1","87","167","06:00~22:00",35.17307,128.9469
"개방화장실","가덕도동행정복지센터","부산 강서구 동선길 10 가덕도동행정복지센터","1","6","10","09:00~18:00",35.0566596,128.8317344
"개방화장실","대경산업 구랑주유소","부산 강서구 가락대로 546 대경산업 구랑주유소","1","2","2","정시",35.12769,128.8567
"개방화장실","맥도주유소","부산 강서구 공항로 381 맥도주유소","1","2","2","정시",35.14238,128.9492
"개방화장실","명품주유소","부산 강서구 대저로 235 명품주유소","1","1","1","정시",35.21483,128.9787
"개방화장실","서부산주유소","부산 강서구 남해2지선고속도로 19 서부산주유소","1","1","1","",35.1572887943106,128.948762482451
"간이화장실","내눌삼거리방조제앞","부산 강서구 동선새바지길 425 내눌삼거리방조제앞","1","1","1","",35.06173,128.8476
"간이화장실","지사천","부산 강서구 과학산단로 194-4 지사천","1","1","3","",35.14359,128.8458
"간이화장실","명지75광장","부산 강서구 을숙도대로 150 명지75광장","1","1","1","",35.0931187,128.9235914
"간이화장실","명지오션시티 남쪽","부산 강서구 명지오션시티1로 170 명지오션시티 남쪽","1","1","3","",35.0791785,128.9078068
"간이화장실","구랑천 체육시설","부산 강서구 과학산단로 18-1 구랑천 체육시설","1","1","2","",35.13409,128.8607
"간이화장실","미음야구장","부산 강서구 미음국제7로 42-1 미음야구장","1","1","2","",35.1409,128.8673
"간이화장실","녹산수문공원","부산 강서구 낙동남로 759 녹산수문공원","1","2","2","",35.12088,128.8974
"공중화장실","화암공원","부산 강서구 화전산단5로 131 화암공원","1","4","7","",35.11015,128.8774
"공중화장실","너울공원","부산 강서구 명지국제6로220번길 30 너울공원","1","3","7","",35.09526,128.9241
"공중화장실","녹산고향동산2","부산 강서구 범방4로 136 녹산고향동산2","1","2","2","",35.15622,128.8868
"공중화장실","녹산공영주차장","부산 강서구 녹산산단262로60번길 58 녹산공영주차장","1","3","5","",35.08374,128.8399
"공중화장실","구랑공원","부산 강서구 미음산단로 52 구랑공원","1","1","4","",35.13075,128.8532
"간이화장실","외양포공영주차장","부산 강서구 외양포로 39 외양포공영주차장","1","1","2","",35.00594,128.8268
"간이화장실","대항항관광체험장","부산 강서구 가덕해안로1212번길 48-1 대항항관광체험장","1","1","2","",35.01427,128.8267
"간이화장실","강동조정경기장입구","부산 강서구 조정경기장길 72-2 강동조정경기장입구","1","1","1","",35.17556,128.9084
"간이화장실","가락생태공원","부산 강서구 식만로 68-20 가락생태공원","1","1","1","",35.19816,128.9021
"간이화장실","명지동75호광장","부산 강서구 을숙도대로 152 명지동75호광장","1","1","2","",35.0931187,128.9235914
"간이화장실","대항새바지","부산 강서구 가덕해안로1169번길 62-51 대항새바지","1","2","3","",35.01649,128.8349
"간이화장실","동선동 공동주차장","부산 강서구 동선길 41 동선동 공동주차장","1","1","2","",35.05568,128.8323
"간이화장실","대저수문공원","부산 강서구 공항로 1487 대저수문공원","1","2","3","",35.22976,128.9922
"간이화장실","천성선착장","부산 강서구 가덕해안로 786 천성선착장","1","1","4","",35.0283,128.8155
"간이화장실","중사도","부산 강서구 식만로280번길 48 중사도","1","1","2","",35.21474,128.917
"간이화장실","외양포해변","부산 강서구 외양포로 8 외양포해변","1","2","3","",35.00517,128.8244
"개방화장실","강서체육공원야외테니스장","부산 강서구 체육공원로 43 강서체육공원야외테니스장","1","4","4","",35.208900171,128.970303
"간이화장실","수능엄사 옆","부산 강서구 낙동남로 754-11 수능엄사 옆","1","1","2","",35.11981,128.897
"간이화장실","외눌마을입구","부산 강서구 가덕해안로2번길 72 외눌마을입구","1","1","2","",35.06771,128.8368
"간이화장실","어음포곡등산로","부산 강서구 서천로42번길 351 어음포곡등산로","1","1","1","",35.0298621929453,128.833590487381
"이동화장실","낙동강관리본부 맥도생태공원 2","부산 강서구 대저2동 1200-31 낙동강관리본부 맥도생태공원 2","1","2","4","",35.15112,128.954563
"이동화장실","낙동강관리본부 맥도생태공원 1","부산 강서구 대저2동 1200-3 낙동강관리본부 맥도생태공원 1","1","2","3","",35.1955063245586,128.966267093057
"이동화장실","낙동강관리본부 대저생태공원 7","부산 강서구 대저2동 1200-3 낙동강관리본부 대저생태공원 7","1","2","5","",35.1955063245586,128.966267093057
"이동화장실","낙동강관리본부 대저생태공원 3","부산 강서구 대저1동 1-5 낙동강관리본부 대저생태공원 3","1","2","5","",35.215848101826,128.991446009636
"공중화장실","삼성자동차동문","부산 강서구 화전산업대로 64 삼성자동차동문","1","1","3","",35.0925,128.8875
"개방화장실","부산광역시농업기술센터","부산 강서구 공항로 1285 부산광역시농업기술센터","1","11","19","09:00~18:00",35.2132759,128.9868233
"개방화장실","녹산파출소","부산 강서구 낙동남로604번길 2-17 녹산파출소","1","2","2","",35.11274,128.8862
"개방화장실","상수도사업본부 강서사업소","부산 강서구 공항로 721 상수도사업본부 강서사업소","1","4","3","09:00~18:00",35.17095,128.9586
"개방화장실","부산대저2동우체국","부산 강서구 공항로811번길 34 부산대저2동우체국","1","1","1","정시(09:00~18:00)",35.180287,128.95614
"개방화장실","공항파출소","부산 강서구 공항진입로 39 공항파출소","1","1","1","",35.18116,128.9542
"개방화장실","신호작은도서관","부산 강서구 르노삼성대로 14 신호작은도서관","1","2","2","화~금(10시~18시), 주말(10시~17시)",35.08851,128.8719
"개방화장실","세기상사공항주유소","부산 강서구 공항로 469 세기상사공항주유소","1","1","1","정시",35.14991,128.9524
"개방화장실","GS칼텍스 동성셀프주유소","부산 강서구 명지국제8로 272 GS칼텍스 동성셀프주유소","1","1","1","정시",35.09764,128.9224
"개방화장실","르노삼성자동차","부산 강서구 르노삼성대로 61 르노삼성자동차","1","1","2","정시",35.0954080178918,128.883215288804
"개방화장실","부산축산업협동조합 농협주유소","부산 강서구 낙동남로 448 부산축산업협동조합 농협주유소","1","2","2","정시",35.1119213749407,128.868538078035
"개방화장실","은마석유 경기장주유소","부산 강서구 낙동북로 364 은마석유 경기장주유소","1","1","1","정시",35.21209,128.968
"개방화장실","강서구보훈복지회관","부산 강서구 제도로 1167 강서구보훈복지회관","1","5","7","정시",35.21446,128.9352
"개방화장실","SK에너지 경마장주유소","부산 강서구 가락대로 1027 SK에너지 경마장주유소","1","1","1","정시",35.16156,128.8871
"개방화장실","김해공항 국내선","부산 강서구 공항진입로 108 김해공항 국내선","1","45","91","06:00~22:00",35.17317,128.9468
"공중화장실","대항주차장","부산 강서구 가덕해안로 1189 대항주차장","1","2","4","",35.01206,128.8298
"이동화장실","낙동강관리본부 맥도생태공원 6","부산 강서구 신포길 14-2 낙동강관리본부 맥도생태공원 6","1","2","4","",35.112156,128.933763
"이동화장실","낙동강관리본부 맥도생태공원 4","부산 강서구 대저2동 1200-32 낙동강관리본부 맥도생태공원 4","1","2","3","",35.149965,128.954864
"이동화장실","낙동강관리본부 맥도생태공원 3","부산 강서구 대저2동 1200-32 낙동강관리본부 맥도생태공원 3","1","2","3","",35.150992,128.956425
"개방화장실","부산신호동우체국","부산 강서구 신호이로 39 부산신호동우체국","1","2","2","정시(09:00~18:00)",35.085216,128.879199
"개방화장실","부산경남경마공원","부산 강서구 가락대로 929 부산경남경마공원","1","192","195","09:00~18:00",35.155122,128.8821
"개방화장실","명지2동행정복지센터","부산 강서구 명지오션시티11로 35 명지2동행정복지센터","1","4","10","정시",35.0847,128.9002
"개방화장실","부산강서LPG충전소","부산 강서구 낙동북로 310 부산강서LPG충전소","1","1","1","",35.2127,128.9626
"개방화장실","우양네트웍스 송산주유소","부산 강서구 호계로 200 우양네트웍스 송산주유소","1","1","1","",35.20924,128.8909
"개방화장실","부산지사동우체국","부산 강서구 과학산단2로20번길 13 부산지사동우체국","1","1","2","정시(09:00~18:00)",35.150872,128.832191
"개방화장실","부산지방기상청","부산 강서구 대저로63번길 54 부산지방기상청","1","2","3","09:00~18:00",35.21746,128.9602
"개방화장실","대저1동행정복지센터","부산 강서구 대저로221번길 19 대저1동행정복지센터","1","3","5","정시",35.21559,128.9768
"개방화장실","부산경제진흥원 녹산청사","부산 강서구 녹산산단232로 38-26 부산경제진흥원 녹산청사","1","5","5","",35.0865743070385,128.840263337127
"공중화장실","정거마을","부산 강서구 가덕해안로2번길 569 정거마을","1","1","1","",35.06901,128.8516
"공중화장실","생교동마을회관앞","부산 강서구 동선새바지길 181 생교동마을회관앞","1","1","1","",35.054,128.8414
"공중화장실","대항마을어촌관광단지","부산 강서구 가덕해안로 1242 대항마을어촌관광단지","1","2","5","",35.0101,128.8255
"공중화장실","남강공원","부산 강서구 미음산단4로62번길 13 남강공원","1","1","2","",35.15633,128.8565
"이동화장실","낙동강관리본부 대저생태공원 4","부산 강서구 대저1동 1-23 낙동강관리본부 대저생태공원 4","1","2","5","",35.204387,128.980106
"개방화장실","우리들주유소","부산 강서구 낙동남로 667 우리들주유소","1","2","2","정시",35.11845,128.8898
"개방화장실","은마석유신호주유소","부산 강서구 낙동남로 514 은마석유신호주유소","1","1","2","정시",35.11239,128.8763
"개방화장실","DJS신항만물류단지주유소","부산 강서구 가락대로 834 DJS신항만물류단지주유소","1","1","1","정시",35.14661,128.8773
"개방화장실","지하철 대저역","부산 강서구 낙동북로 295 지하철 대저역","1","5","10","정시",35.2134,128.9627
"개방화장실","경전철대저역","부산 강서구 낙동북로 294 경전철대저역","1","4","6","정시",35.21344,128.9606
"개방화장실","경전철등구역","부산 강서구 경전철로 194 경전철등구역","1","4","6","정시",35.19641,128.9636
"개방화장실","경전철서부산유통지구역","부산 강서구 유통단지1로57번길 7 경전철서부산유통지구역","1","4","6","정시",35.16564,128.9554
"개방화장실","비케이원 미래드림 주유소","부산 강서구 가락대로 649 비케이원 미래드림 주유소","1","1","1","정시",35.13487,128.8638
"개방화장실","명지주유소","부산 강서구 낙동남로 1042 명지주유소","1","2","1","정시",35.11298,128.9266
"공중화장실","보람공원","부산 강서구 녹산산단262로 6 보람공원","1","2","5","",35.08842,128.8444
"이동화장실","낙동강관리본부 맥도생태공원 5","부산 강서구 대저2동 1200-34 낙동강관리본부 맥도생태공원 5","1","2","3","",35.147729,128.953941
"개방화장실","만은에너지대사리주유소","부산 강서구 낙동북로 65 만은에너지대사리주유소","1","2","2","정시",35.21878,128.9369
"개방화장실","명지시장","부산 강서구 신포길 13-10 명지시장","1","2","6","",35.11293,128.9316
"개방화장실","신항만주유소","부산 강서구 가락대로1243번길 68 신항만주유소","1","1","1","정시",35.17677,128.8973
"개방화장실","대저2동행정복지센터","부산 강서구 공항로811번가길 30 대저2동행정복지센터","1","3","3","정시",35.17875,128.9565
"개방화장실","지사민원센터","부산 강서구 과학산단2로20번길 5 지사민원센터","1","2","3","정시",35.15177,128.8311
"개방화장실","신호민원센터","부산 강서구 신호사로 56 신호민원센터","1","5","10","정시",35.08562,128.8791
"개방화장실","녹산보건지소","부산 강서구 생곡로 17 녹산보건지소","1","1","2","정시",35.12364,128.8955
"개방화장실","대항보건진료소","부산 강서구 가덕해안로1208번가길 9 대항보건진료소","1","1","1","목,금(09:00~18:00)",35.01301,128.8282
"개방화장실","낙동복지관","부산 강서구 순아강변길 5 낙동복지관","1","4","5","정시",35.11984,128.9028
"개방화장실","경전철덕두역","부산 강서구 경전철로 10 경전철덕두역","1","4","6","정시",35.18238,128.9544
"개방화장실","경전철공항역","부산 강서구 공항진입로 165 경전철공항역","1","4","6","정시",35.17308,128.9482
"개방화장실","경전철평강역","부산 강서구 대저1동 1639-1 경전철평강역","1","4","6","정시",35.21469,128.9507
"개방화장실","지하철체육공원역","부산 강서구 낙동북로 371 지하철체육공원역","1","8","13","정시",35.2125080419031,128.969459807101
"개방화장실","개인택시 신공항LPG충전소","부산 강서구 경전철로188번길 95 개인택시 신공항LPG충전소","1","1","1","정시",35.19888,128.9662
"개방화장실","SK행복충전 대저충전소","부산 강서구 체육공원로 24 SK행복충전 대저충전소","1","1","1","정시",35.20627,128.9747
"개방화장실","평강주유소","부산 강서구 평강로 309 평강주유소","1","2","1","정시",35.21281,128.9466
"개방화장실","공항대로주유소","부산 강서구 공항로 1217 공항대로주유소","1","2","2","정시",35.20885,128.9816
"개방화장실","강서노인종합복지관","부산 강서구 체육공원로 39 강서노인종합복지관","1","3","7","09:00~18:00",35.207278,128.973297
"개방화장실","가락파출소","부산 강서구 가락대로 1465 가락파출소","1","1","1","",35.19495,128.9021
"개방화장실","대저파출소","부산 강서구 대저로 284 대저파출소","1","2","2","",35.21209,128.9828
"개방화장실","성민제2주유소","부산 강서구 봉림길94번길 89 성민제2주유소","1","1","1","",35.1759,128.8951
"개방화장실","강서체육공원야외양궁장","부산 강서구 체육공원로 43 강서체육공원야외양궁장","1","4","4","",35.20986581,128.9710414209
"개방화장실","신호파출소","부산 강서구 녹산산단335로 12-22 신호파출소","1","2","2","",35.08993,128.8564
"개방화장실","범방주유소","부산 강서구 가락대로 963 범방주유소","1","1","1","정시",35.15653,128.8845
"공중화장실","대항노인회관","부산 강서구 가덕해안로1208번길 9 대항노인회관","1","1","2","",35.01258,128.8277
"이동화장실","낙동강관리본부 대저생태공원 8","부산 강서구 대저1동 1-5 낙동강관리본부 대저생태공원 8","1","2","5","",35.215848101826,128.991446009636
"이동화장실","낙동강관리본부 대저생태공원 6","부산 강서구 대저1동 1-39 낙동강관리본부 대저생태공원 6","1","2","5","",35.198038,128.969346
"이동화장실","낙동강관리본부 대저생태공원 5","부산 강서구 대저1동 1-5 낙동강관리본부 대저생태공원 5","1","2","5","",35.215848101826,128.991446009636
"이동화장실","낙동강관리본부 대저생태공원 2","부산 강서구 대저1동 1-5 낙동강관리본부 대저생태공원 2","1","2","5","",35.215848101826,128.991446009636
"이동화장실","낙동강관리본부 대저생태공원 1","부산 강서구 대저1동 1-5 낙동강관리본부 대저생태공원 1","1","2","5","",35.213537,128.989807
"개방화장실","내트럭 부산신항남컨사업소","부산 강서구 신항남로 507 내트럭 부산신항남컨사업소","1","1","1","정시",35.06776,128.8338
"개방화장실","강동파출소","부산 강서구 제도로 1191 강동파출소","1","1","1","",35.21623,128.9367
"개방화장실","서부산휴게소","부산 강서구 남해2지선고속도로 19 서부산휴게소","1","12","31","",35.15709,128.9486
"개방화장실","천성보건지소","부산 강서구 가덕해안로821번길 100 천성보건지소","1","1","1","정시",35.02904,128.8165
"개방화장실","시큐 국제산단주유소","부산 강서구 생곡로 272 시큐 국제산단주유소","1","1","1","정시",35.13753,128.8858
"개방화장실","명지농협주유소","부산 강서구 르노삼성대로 572 명지농협주유소","1","1","2","",35.09882,128.9278
"개방화장실","가덕도동노인복지관","부산 강서구 동선길 10 가덕도동노인복지관","1","4","6","09:000~18:00",35.0569255,128.8323096
"개방화장실","지사파출소","부산 강서구 과학산단2로20번길 7-20 지사파출소","1","2","2","",35.15117,128.8322
"개방화장실","명지파출소","부산 강서구 명지국제2로28번길 13 명지파출소","1","2","2","",35.09387,128.9087
"개방화장실","가락보건지소","부산 강서구 가락대로 1476 가락보건지소","1","2","3","금요일 09:00~18:00",35.196214,128.90167
"개방화장실","시큐 대저고속주유소","부산 강서구 체육공원로 66 시큐 대저고속주유소","1","2","2","",35.2099,128.9747
"간이화장실","맥도생태공원제방변","부산 강서구 공항로 212 맥도생태공원제방변","1","2","2","",35.12821,128.943
"간이화장실","철새탐조대","부산 강서구 명지오션시티1로 282 철새탐조대","1","2","3","",35.08489,128.912
"개방화장실","노인복지관","부산 강서구 체육공원로 39 노인복지관","1","2","2","정시",35.2075,128.9735
