구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,남면 안도 매표소 화장실,전라남도 여수시 남면 안도리 936-2 안도간이여객터미널,,1,2,,,
개방화장실,안도보건진료소,전라남도 여수시 남면 안도해변길 49-7,,1,1,09:00~18:00,,
공중화장실,향일암버스승강장,전라남도 여수시 돌산읍 율림리 38-4,,1,2,,,
개방화장실,안도리화장실,전라남도 여수시 남면 안도해수욕장길 105,,5,9,09:00~18:00,,
개방화장실,향일암일주문화장실,전라남도 여수시 돌산읍 향일암로 58,,2,6,09:00~18:00,,
개방화장실,임포주차장화장실,"전라남도 여수시 돌산읍 향일암로 164, 향일암휴게소",,4,9,09:00~18:00,,
개방화장실,향일암 공영주차장 공용화장실,전라남도 여수시 향일암로 70-4,,2,2,,,
