구분,화장실명,소재지도로명주소,층수,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,부산해양경찰서 명지파출소,부산광역시 강서구 명지동 3221-4,1,2,2,,35.10649642,128.9310834
개방화장실,민락활어직판장,부산 수영구 광안해변로312번길 60,1,2,4,,35.15416418,129.1278209
개방화장실,광안리파출소,부산광역시 수영구 민락수변로 92,1,1,1,,35.1545327,129.1306943
