구분,화장실명,소재지도로명주소,층수,남성대변기수,여성대변기수,메모,WGS84위도,WGS84경도
개방화장실,방화대교 남단 게이트볼장 화장실,서울특별시 강서구 방화동 17-2,1,2,1,10:00~17:00,37.58485731,126.8213961
공중화장실,롯데백화점,서울특별시 영등포구 경인로 846,1,2,6,10:30~20:00,37.51605226,126.9073683
공중화장실,율현공원책쉼터,서울특별시 강남구 밤고개로21길 85,1,3,8,24시,37.47459534,127.114976
공중화장실,율현공원 게이트볼장,서울특별시 강남구 율현동 165-1,1,2,4,24시,37.47219556,127.113514
