구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","양산 건강센터","충청북도 영동군 양산면 가곡3길 3","충청북도 영동군 양산면 가곡3길 3","1","5","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","상촌 체육공원","충청북도 영동군 상촌면 유곡리 822-3","충청북도 영동군 상촌면 유곡리 822-3","2","3","","","","좌표를 찾을 수 없음"
"개방화장실","에코빌광장 화장실","충청북도 옥천군 안남면 연주길 173","","2","3","","","","좌표를 찾을 수 없음"
"개방화장실","남선석유㈜ 롯데마트","좌표를 찾을 수 없음"
"개방화장실","북부시장 상가화장실(2층)","충청북도 청주시 청원구 향군로31번길 2-18","","4","4","09:00 ∼ 24:00","","","좌표를 찾을 수 없음"
