시간,유형,메시지
"오후 1:30:12","success","[7/1397] 세오㈜직영 미래주유소 : 주소 검색 성공[road]"
"오후 1:30:12","info","[7/1397] 세오㈜직영 미래주유소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 세오 직영 미래주유소"""
"오후 1:30:12","success","[7/1397] 세오㈜직영 미래주유소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (0m)"
"오후 1:30:12","info","[7/1397] 세오㈜직영 미래주유소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:12","warning","[7/1397] 세오㈜직영 미래주유소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:12","success","[7/1397] 세오㈜직영 미래주유소 : 변환 성공"
"오후 1:30:12","info","[8/1397] 솔로몬파크 체험관1층 : 주소 검색 시도[road]-> ""광주광역시 북구 오문로 244"""
"오후 1:30:12","info","[8/1397] 솔로몬파크 체험관1층 : 역지오코딩 검증 중..."
"오후 1:30:12","success","[8/1397] 솔로몬파크 체험관1층 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:12","success","[8/1397] 솔로몬파크 체험관1층 : 주소 검색 성공[road]"
"오후 1:30:12","info","[8/1397] 솔로몬파크 체험관1층 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 솔로몬파크 체험관"""
"오후 1:30:12","info","[8/1397] 솔로몬파크 체험관1층 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:12","success","[8/1397] 솔로몬파크 체험관1층 : 변환 성공"
"오후 1:30:12","info","[9/1397] 쉐보레동광주서비스센터 : 주소 검색 시도[road]-> ""광주광역시 북구 오문로 234"""
"오후 1:30:12","info","[9/1397] 쉐보레동광주서비스센터 : 역지오코딩 검증 중..."
"오후 1:30:12","success","[9/1397] 쉐보레동광주서비스센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:12","success","[9/1397] 쉐보레동광주서비스센터 : 주소 검색 성공[road]"
"오후 1:30:12","info","[9/1397] 쉐보레동광주서비스센터 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 쉐보레동광주서비스센터"""
"오후 1:30:13","success","[9/1397] 쉐보레동광주서비스센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (28m)"
"오후 1:30:13","warning","[9/1397] 쉐보레동광주서비스센터 : [DOUBLE-CHECK] 주소 번호 불일치 (234 vs 81), 하지만 위치 근접하여 허용"
"오후 1:30:13","info","[9/1397] 쉐보레동광주서비스센터 : 입력좌표 vs 검색좌표 거리 = 4 m"
"오후 1:30:13","warning","[9/1397] 쉐보레동광주서비스센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:13","success","[9/1397] 쉐보레동광주서비스센터 : 변환 성공"
"오후 1:30:13","info","[10/1397] 스피드메이트 광주역점 : 주소 검색 시도[road]-> ""광주광역시 북구 무등로 218"""
"오후 1:30:13","info","[10/1397] 스피드메이트 광주역점 : 역지오코딩 검증 중..."
"오후 1:30:13","success","[10/1397] 스피드메이트 광주역점 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:13","success","[10/1397] 스피드메이트 광주역점 : 주소 검색 성공[road]"
"오후 1:30:13","info","[10/1397] 스피드메이트 광주역점 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 스피드메이트 광주역점"""
"오후 1:30:13","success","[10/1397] 스피드메이트 광주역점 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (2m)"
"오후 1:30:13","info","[10/1397] 스피드메이트 광주역점 : 입력좌표 vs 검색좌표 거리 = 2 m"
"오후 1:30:13","warning","[10/1397] 스피드메이트 광주역점 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:13","success","[10/1397] 스피드메이트 광주역점 : 변환 성공"
"오후 1:30:13","info","[11/1397] 각화도매시장 정문 : 주소 검색 시도[road]-> ""광주광역시 북구 동문대로 260"""
"오후 1:30:13","info","[11/1397] 각화도매시장 정문 : 역지오코딩 검증 중..."
"오후 1:30:13","success","[11/1397] 각화도매시장 정문 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:13","success","[11/1397] 각화도매시장 정문 : 주소 검색 성공[road]"
"오후 1:30:13","info","[11/1397] 각화도매시장 정문 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 각화도매시장 정문"""
"오후 1:30:13","info","[11/1397] 각화도매시장 정문 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:13","info","[11/1397] 각화도매시장 정문 : 입력좌표 vs 검색좌표 거리 = 227 m"
"오후 1:30:13","warning","[11/1397] 각화도매시장 정문 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:13","success","[11/1397] 각화도매시장 정문 : 변환 성공"
"오후 1:30:13","info","[12/1397] 각화도매시장 중앙청과 : 주소 검색 시도[road]-> ""광주광역시 북구 동문대로 260"""
"오후 1:30:13","info","[Cache] 지오코딩 결과 재사용: ""광주광역시 북구 동문대로 260"""
"오후 1:30:14","info","[12/1397] 각화도매시장 중앙청과 : 역지오코딩 검증 중..."
"오후 1:30:14","info","[Cache] 역지오코딩 결과 재사용: 35.183904,126.935780"
"오후 1:30:14","success","[12/1397] 각화도매시장 중앙청과 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:14","success","[12/1397] 각화도매시장 중앙청과 : 주소 검색 성공[road]"
"오후 1:30:14","info","[12/1397] 각화도매시장 중앙청과 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 각화도매시장 중앙청과"""
"오후 1:30:14","info","[12/1397] 각화도매시장 중앙청과 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:14","info","[12/1397] 각화도매시장 중앙청과 : 입력좌표 vs 검색좌표 거리 = 227 m"
"오후 1:30:14","warning","[12/1397] 각화도매시장 중앙청과 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:14","success","[12/1397] 각화도매시장 중앙청과 : 변환 성공"
"오후 1:30:14","info","[13/1397] 각화도매시장 채소2경매장 : 주소 검색 시도[road]-> ""광주광역시 북구 동문대로 260"""
"오후 1:30:14","info","[Cache] 지오코딩 결과 재사용: ""광주광역시 북구 동문대로 260"""
"오후 1:30:14","info","[13/1397] 각화도매시장 채소2경매장 : 역지오코딩 검증 중..."
"오후 1:30:14","info","[Cache] 역지오코딩 결과 재사용: 35.183904,126.935780"
"오후 1:30:14","success","[13/1397] 각화도매시장 채소2경매장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:14","success","[13/1397] 각화도매시장 채소2경매장 : 주소 검색 성공[road]"
"오후 1:30:14","info","[13/1397] 각화도매시장 채소2경매장 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 각화도매시장 채소2경매장"""
"오후 1:30:14","info","[13/1397] 각화도매시장 채소2경매장 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:14","info","[13/1397] 각화도매시장 채소2경매장 : 입력좌표 vs 검색좌표 거리 = 227 m"
"오후 1:30:14","warning","[13/1397] 각화도매시장 채소2경매장 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:14","success","[13/1397] 각화도매시장 채소2경매장 : 변환 성공"
"오후 1:30:14","info","[14/1397] 각화종합사회복지관 : 주소 검색 시도[road]-> ""광주광역시 북구 군왕로207번길 20"""
"오후 1:30:14","info","[14/1397] 각화종합사회복지관 : 역지오코딩 검증 중..."
"오후 1:30:14","success","[14/1397] 각화종합사회복지관 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:14","success","[14/1397] 각화종합사회복지관 : 주소 검색 성공[road]"
"오후 1:30:14","info","[14/1397] 각화종합사회복지관 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 각화종합사회복지관"""
"오후 1:30:15","warning","[14/1397] 각화종합사회복지관 : [DOUBLE-CHECK] 시설명 위치와 불일치 (186m)"
"오후 1:30:15","info","[14/1397] 각화종합사회복지관 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:15","success","[14/1397] 각화종합사회복지관 : 변환 성공"
"오후 1:30:15","info","[15/1397] 강변공원 : 주소 검색 시도[road]-> ""광주광역시 북구 추암로 190"""
"오후 1:30:15","info","[15/1397] 강변공원 : 역지오코딩 검증 중..."
"오후 1:30:15","success","[15/1397] 강변공원 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:15","success","[15/1397] 강변공원 : 주소 검색 성공[road]"
"오후 1:30:15","info","[15/1397] 강변공원 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 강변공원"""
"오후 1:30:15","warning","[15/1397] 강변공원 : [DOUBLE-CHECK] 시설명 위치와 불일치 (2758m)"
"오후 1:30:15","info","[15/1397] 강변공원 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:15","warning","[15/1397] 강변공원 : 대규모 시설(0m) -> 기존 좌표 우선 사용(검증 등급: GOOD)"
"오후 1:30:15","success","[15/1397] 강변공원 : 변환 성공"
"오후 1:30:15","info","[16/1397] 건국동 행정복지센터 : 주소 검색 시도[road]-> ""광주광역시 북구 본촌마을길 25"""
"오후 1:30:15","info","[16/1397] 건국동 행정복지센터 : 역지오코딩 검증 중..."
