구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","새마을백작소 상가","","충청남도 금산군 금산읍 하옥리17번지","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","우리들주유소","","충청남도 금산군 금산읍 하옥리643번지","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","금옥웨딩타운예식장","","충청남도 금산군 금산읍 상리65번지 2호","6","6","","","","좌표를 찾을 수 없음"
"개방화장실","남일 주유소","","충청남도 금산군 금산읍 아인리370번지 1호","1","2","","","","좌표를 찾을 수 없음"
"간이화장실","철새도래지구3","충청남도 서천군 한산면 신성로 510-16","","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","판교특화음식촌 주차장 화장실","충청남도 서천군 판교면 종판로 882-13","","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","모시관입구(동쪽)","충청남도 서천군 한산면 충절로 1090","","3","5","","","","좌표를 찾을 수 없음"
"간이화장실","신성리갈대밭 야외화장실","충청남도 서천군 한산면 신성로 501","","1","4","","","","좌표를 찾을 수 없음"
"공중화장실","춘장대5","충청남도 서천군 서면 춘장대길8번길 28","","7","9","","","","좌표를 찾을 수 없음"
"공중화장실","춘장대갈매기3","충청남도 서천군 서면 춘장대길 27","","5","8","","","","좌표를 찾을 수 없음"
"공중화장실","14호 공원","충청남도 논산시 논산대로 269-20","","1","2","","","","좌표를 찾을 수 없음"
"개방화장실","양촌반곡농협","충청남도 논산시 양촌면 반곡리 254-10","","2","3","(평일)09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","신풍리","충청남도 논산시 부적면 신충리 671","","2","4","","","","좌표를 찾을 수 없음"
"공중화장실","진말 공중화장실","","충청남도 보령시 오천면 원산도리 1869-1","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","신방쉼터A 화장실","충청남도 천안시 동남구 천안천변로 129-33","","4","9","","","","좌표를 찾을 수 없음"
"공중화장실","신방쉼터B 화장실","충청남도 천안시 동남구 천안천변로 129-33","","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","㈜소노인터내셔널 천안지점","충청남도 천안시 동남구 성남면 종합휴양지로 200","","69","55","","","","좌표를 찾을 수 없음"
