구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,메모,WGS84위도,WGS84경도
공중화장실,진영주유소,세종특별자치시 소정면 세종로 4732,세종특별자치시 소정면 대곡리 371-4,1,1,09:00~18:00,,
공중화장실,소정면보건지소,세종특별자치시 소정면 소정구길 201,세종특별자치시 소정면 소정리 156-5,1,3,"09:00~18:00(화, 목)",36.722,127.1574
공중화장실,소정면사무소,"세종특별자치시 소정면 소정구길 204, 소정면사무소",세종특별자치시 소정면 소정리 48 소정면사무소,3,2,평일)09:00~21:00 주말)09:00~18:00,,
공중화장실,소정면우체국,"세종특별자치시 소정면 소정구길 110, 소정우체국",세종특별자치시 소정면 소정리 267-6 소정우체국,2,2,09:00~18:00,,
공중화장실,소정면치안센터,"세종특별자치시 소정면 소정구길 160, 소정치안센터",세종특별자치시 소정면 소정리 175-2 소정치안센터,1,1,09:00~18:00,,
공중화장실,소정쉼터,세종특별자치시 소정면 소정구길 163,세종특별자치시 소정면 소정리 196-11,1,2,,,
공중화장실,범한주유소,세종특별자치시 소정면 세종로 4679,세종특별자치시 소정면 대곡리 342,1,1,09:00~18:00,,
공중화장실,소정119지역대,"세종특별자치시 소정면 학교말길 17-3, 소정면119지역대",세종특별자치시 소정면 소정리 48-1 소정면119지역대,2,2,09:00~18:00,,
