구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","옥과면 휴앤락공원","전라남도 곡성군 옥과면 대학로 145, 휴앤락공원(구면사무소)","전라남도 곡성군 옥과면 옥과리 104번지 8호","3","3","","","","좌표를 찾을 수 없음"
"공중화장실","청계동 주차장 옆","전라남도 곡성군 곡성읍 신기리 산 191번지 7호","전라남도 곡성군 곡성읍 신기리 산 191번지 7호","2","4","","","","좌표를 찾을 수 없음"
"공중화장실","고달교 밑","전라남도 곡성군 고달면 목동리 721번지 3호","전라남도 곡성군 고달면 목동리 721번지 3호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","우산공원下","좌표를 찾을 수 없음"
"공중화장실","고성사방댐","전라남도 진도군 고군면 고성리","전라남도 진도군 고군면 고성리 53-1","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","신동습지","전라남도 진도군 군내면 둔전리","전라남도 진도군 군내면 둔전리202","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","청룡어촌체험마을2","진도읍 수유리","진도읍 수유리 710-2","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","신동습지","진도군 군내면 둔전리","군내면 둔전리202","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","헌복동1","진도군 임회면 죽림리","임회면 죽림리 432-12","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","헌복동2","진도군 임회면 죽림리","임회면 죽림리 432-12","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","급치산전망대","진도군 지산면 심동리","지산면 심동리산 59-1","3","3","","","","좌표를 찾을 수 없음"
"공중화장실","고성사방댐","진도군 고군면 고성리","고군면 고성리 53-1","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","곤우선착장","진도군 조도면 창유리","도도면 창유리 산411-1","1","1","","","","좌표를 찾을 수 없��"
"공중화장실","급치산전망대","전라남도 진도군 지산면 심동리","전라남도 진도군 지산면 심동리산 59-1","3","3","","","","좌표를 찾을 수 없음"
"공중화장실","헌복동2","전라남도 진도군 임회면 죽림리","전라남도 진도군 임회면 죽림리 432-12","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","헌복동1","전라남도 진도군 임회면 죽림리","전라남도 진도군 임회면 죽림리 432-12","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","청룡어촌체험마을2","전라남도 진도군 진도읍 수유리","전라남도 진도군 진도읍 수유리 710-2","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","성불사 세심교","좌표를 찾을 수 없음"
"공중화장실","성곡주유소 화장실","전라남도 순천시 해룡면 여순로 472(해룡면)","","1","2","07:00~21:00","","","좌표를 찾을 수 없음"
"공중화장실","별헤는 다리","전라남도 광양시 진월면 망적리 60-53","전라남도 광양시 진월면 망적리 60-53","2","2","","","","좌표를 찾을 수 없음"
"개방화장실","영산포풍물시장3","전라남도 나주시 이창동 763-59","","2","3","","","","좌표를 찾을 수 없음"
"개방화장실","강변저류지공중화장실","전라남도 나주시 영산자전거길 6181(영산동)","","2","5","","","","좌표를 찾을 수 없음"
"개방화장실","우습제 공중화장실","전라남도 나주시 공산면 동촌리","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","돌탑공원부근화장실","전라남도 완도군 고금면 고금로423번길 36-14","","3","2","","","","좌표를 찾을 수 없음"
"공중화장실","테마공원화장실","전라남도 완도군 고금면 고금로423번길 36-14","","3","4","","","","좌표를 찾을 수 없음"
"공중화장실","법정스님마을도서관","전라남도 해남군 문내면 우수영안길  81","전라남도 해남군 문내면 우수영안길 81","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","순천만국가정원 저류지주차장 화장실","","전라남도 순천시 오천동 705-21","2","4","","","","좌표를 찾을 수 없음"
"공중화장실","상하수도사업소","전라남도 해남군 해남읍 남각길 53","전라남도 해남군 해남읍 남각길 53","4","2","10","","","좌표를 찾을 수 없음"
"공중화장실","인월주유소 화장실","전라남도 순천시 별량면 녹색로 1199(인월동)","","1","2","","","","좌표를 찾을 수 없음"
