구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","동해삼화동우체국","강원특별자치도 동해시 삼화로 17 동해삼화동우체국","1","1","1","09:00~18:00",37.48689,129.0677
"개방화장실","동해문화원","강원특별자치도 동해시 평원로 17 동해문화원","1","1","1","09:00~18:00",37.52698,129.1146
"개방화장실","동해무릉건강숲","강원특별자치도 동해시 삼화로 455 동해무릉건강숲","1","1","1","09:00~18:00",37.46533,129.0314
"개방화장실","동해교육도서관","강원특별자치도 동해시 부곡5길 22 동해교육도서관","1","1","1","09:00~18:00",37.53863,129.1098
"개방화장실","농업기술센터","강원특별자치도 동해시 승지로 58-2 농업기술센터","1","1","1","09:00~18:00",37.53947,129.0959
"개방화장실","부곡동행정복지센터","강원특별자치도 동해시 부곡로 21 부곡동행정복지센터","1","1","1","09:00~18:00",37.5358,129.1063
"개방화장실","보건소","강원특별자치도 동해시 천곡로 100-2 보건소","1","8","8","09:00~18:00",37.52263,129.1172
"개방화장실","발한동행정복지센터","강원특별자치도 동해시 발한로 211 발한동행정복지센터","1","5","5","09:00~18:00",37.54845,129.108
"개방화장실","바다민원실","강원특별자치도 동해시 동해대로 6270-23 바다민원실","1","1","2","09:00~18:00",37.59323,129.0898
"개방화장실","묵호동행정복지센터","강원특별자치도 동해시 논골길 78 묵호동행정복지센터","1","9","9","09:00~18:00",37.55862,129.1142
"개방화장실","묵호119안전센터","강원특별자치도 동해시 일출로 29 묵호119안전센터","1","3","2","09:00~18:00",37.55149,129.1105
"개방화장실","무릉복지회관","강원특별자치도 동해시 무릉1길 4 무릉복지회관","1","3","3","09:00~18:00",37.48826,129.0682
"개방화장실","무릉계곡 관리동","강원특별자치도 동해시 삼화로 538 무릉계곡 관리동","1","4","4","09:00~24:00",37.46346,129.0193
"개방화장실","동호동행정복지센터","강원특별자치도 동해시 동호3길 35 동호동행정복지센터","1","3","3","09:00~18:00",37.54587,129.1002
"개방화장실","천곡동행정복지센터","강원특별자치도 동해시 천곡로 98-1 천곡동행정복지센터","1","6","7","09:00~18:00",37.5229,129.1161
"개방화장실","앙바엑스포 전시관","강원특별자치도 동해시 동해대로 6270-53 앙바엑스포 전시관","1","7","18","",37.59462,129.0866
"개방화장실","송정동행정복지센터","강원특별자치도 동해시 동해항2길 25 송정동행정복지센터","1","1","2","09:00~18:00",37.49968,129.1286
"개방화장실","상하수도사업소","강원특별자치도 동해시 새골길 50 상하수도사업소","1","3","3","09:00~18:00",37.49246,129.0922
"개방화장실","망상동행정복지센터","강원특별자치도 동해시 발한로 330 망상동행정복지센터","1","1","1","09:00~18:00",37.55796,129.1045
"개방화장실","동해시보건소","강원특별자치도 동해시 청운로 96 동해시보건소","1","6","3","09:00~18:00",37.48856,129.1027
"개방화장실","동해시립북삼도서관","강원특별자치도 동해시 효자로 649 동해시립북삼도서관","1","9","11","09:00~22:00",37.49272,129.1046
"개방화장실","동해시립발한도서관","강원특별자치도 동해시 해안로 535 동해시립발한도서관","1","9","9","09:00~22:00",37.54814,129.1058
"개방화장실","삼화119안전센터","강원특별자치도 동해시 무릉1길 6 삼화119안전센터","1","2","1","09:00~18:00",37.48831,129.068
"개방화장실","북평파출소","강원특별자치도 동해시 대동로 132 북평파출소","1","1","1","",37.48358,129.1265
"개방화장실","북평119안전센터","강원특별자치도 동해시 공단1로 21 북평119안전센터","1","2","1","09:00~18:00",37.47156,129.143
"개방화장실","동해경찰서 북삼지구대","강원특별자치도 동해시 효자남길 33-8 동해경찰서 북삼지구대","1","1","1","",37.48958,129.107
"개방화장실","북삼119안전센터","강원특별자치도 동해시 효자남길 33-10 북삼119안전센터","1","3","1","09:00~18:00",37.48925,129.1068
"개방화장실","동해우체국","강원특별자치도 동해시 천곡로 92 동해우체국","1","6","6","09:00~18:00",37.52367,129.1155
"개방화장실","동해시주간보호소","강원특별자치도 동해시 한섬로 28-12 동해시주간보호소","1","2","3","09:00~18:00",37.5193,129.1072
"개방화장실","동해송정동우체국","강원특별자치도 동해시 동해항3길 11 동해송정동우체국","1","1","1","09:00~18:00",37.50036,129.1271
"개방화장실","동해소방서 본관","강원특별자치도 동해시 천곡로 120 동해소방서 본관","1","3","1","09:00~18:00",37.52465,129.1183
"공중화장실","휘닉스중앙평창 유스호스텔","강원특별자치도 평창군 봉평면 태기로 174 휘닉스중앙평창 유스호스텔","1","30","34","09:00~18:00",37.5825421416807,128.326740667555
"공중화장실","휘닉스중앙평창 센터플라자","강원특별자치도 평창군 봉평면 태기로 174 휘닉스중앙평창 센터플라자","1","11","10","09:00~18:00",37.5825421416807,128.326740667555
"공중화장실","휘닉스중앙평창 블루동","강원특별자치도 평창군 봉평면 태기로 174 휘닉스중앙평창 블루동","1","10","10","",37.5825421416807,128.326740667555
"공중화장실","휘닉스중앙평창 그린동","강원특별자치도 평창군 봉평면 태기로 174 휘닉스중앙평창 그린동","1","19","10","",37.5825421416807,128.326740667555
"공중화장실","주 용평리조트 드래곤프라자","강원특별자치도 평창군 대관령면 올림픽로 715 주 용평리조트 드래곤프라자","1","12","35","07:00~20:00",37.6509448898618,128.705556644413
