구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","대원레포츠공원 테니스장 옆 공원","경상남도창원시의창구대원동109","","2","3","-","","","좌표를 찾을 수 없음"
"공중화장실","신감교 앞","경상남도창원시마산회원구내서읍신감리1053-1","경상남도창원시마산회원구내서읍신감리1053-1","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","창원경륜공단 옥외화장실","경상남도창원시의창구원이대로470(두대동,경륜경기장)","","5","7","-","","","좌표를 찾을 수 없음"
"공중화장실","창원교육지원청 별관 1층화장실","경상남도창원시의창구중앙대로228번길3(신월동,경상남도창원교육청)","","4","4","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","창원교육지원청 본관 1층 화장실","경상남도창원시의창구중앙대로228번길3(신월동,경상남도창원교육청)","","3","3","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","상남공원 화장실","경상남도창원시성산구상남동32509","","3","3","-","","","좌표를 찾을 수 없음"
"공중화장실","창원교육지원청 후관 1층화장실","경상남도창원시의창구중앙대로228번길3(신월동,경상남도창원교육청)","","2","2","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","경남지방중소벤처기업청 남녀 화장실","경상남도창원시의창구창이대로532번길50(신월동)","","6","6","-","","","좌표를 찾을 수 없음"
"공중화장실","주남저수지 단풍나무화장실","","경상남도창원시의창구동읍월잠리29860","3","5","상시","","","좌표를 찾을 수 없음"
"공중화장실","감천제일교회 앞","경상남도창원시마산회원구내서읍신감리1085-1","경상남도창원시마산회원구내서읍신감리1085-1","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","평산공원화장실","경상남도창원시의창구팔용동26299","","3","3","-","","","좌표를 찾을 수 없음"
"공중화장실","자은동 SK엔크린 벚꽃주유소 화장실","경상남도창원시진해구냉천로126번길44943(자은동)","","1","1","영업시간 내","","","좌표를 찾을 수 없음"
"공중화장실","원전 해안가","","경상남도창원시마산합포구구산면심리45252","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","경남지방조달청 건물 1층 화장실(남. 여)","경상남도창원시의창구상남로231","","3","3","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","평산공원","","경상남도창원시의창구팔룡동26299","3","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","길상사입구","경상남도창원시의창구상남로382번길18264","경상남도창원시의창구용동산12024","2","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","기업사랑공원 화장실","경상남도창원시성산구가음정동118","","4","3","-","","","좌표를 찾을 수 없음"
"공중화장실","관문주유소","경상남도창원시성산구공단로22(신촌동,창원관문주유소)","","3","3","영업시간 내","","","좌표를 찾을 수 없음"
"공중화장실","관음사 입구","","경상남도창원시의창구동정동산45046","1","2","24시간","","","좌표를 찾을 수 없음"
"공중화장실","덕산동 우체국","경상남도진해구충장로493,진해덕산동우체국(덕산동)","","1","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","용지호수 물레방아 앞 화장실","경상남도창원시의창구용지동543-1","","3","4","-","","","좌표를 찾을 수 없음"
"공중화장실","경남청사관리소(본관1층)","경상남도마산합포구제2두부로10","","4","6","9시간","","","좌표를 찾을 수 없음"
"공중화장실","경남청사관리소(출입국동)","경상남도마산합포구제2두부로30","","4","4","9시간","","","좌표를 찾을 수 없음"
"공중화장실","용지호수공원 관리사 화장실","경상남도창원시의창구용지동산13-1","","4","4","-","","","좌표를 찾을 수 없음"
"공중화장실","용지포정사공원화장실","경상남도창원시의창구용호동3번지","","5","9","-","","","좌표를 찾을 수 없음"
"공중화장실","산호동 우체국","경상남도마산합포구용마로38,마산산호동우체국(산호동)","","1","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","성산아트홀 1층 외곽화장실","경상남도의창구중앙대로181(용호동,성산아트홀)","","1","2","-","","","좌표를 찾을 수 없음"
"공중화장실","성산아트홀 안내실 화장실","경상남도의창구중앙대로181(용호동,성산아트홀)","","1","2","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","동청사 1층","경상남도마산합포구완월동11길6","","3","3","근무시간 내","","","좌표를 찾을 수 없음"
"공중화장실","팔룡공원","","경상남도창원시의창구반계동1313-4(터널앞)","3","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","백일아침고요산길","","경상남도창원시진해구죽곡동산44986","1","1","24시간","","","좌표를 찾을 수 없음"
"공중화장실","창원문화재단 3.15아트센터","경상남도창원시마산회원구삼호로135(양덕동)3.15아트센터","","3","3","근무시간 내","","","좌표를 찾을 수 없음"
