구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","조선대학교학생복지관","필문대로 309 (서석동)","","5","5","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","㈜금호에너지 시청주유소","광주광역시 서구 천변좌하로 200 (치평동)","","2","2","","","","좌표를 찾을 수 없음"
"개방화장실","그린셀프세차장","광주광역시 서구 유림로50번길 1 (쌍촌동)","","1","1","정시","","","좌표를 찾을 수 없음"
